sheet,id,class,subclass,variable,calculated
sheet2,malu_idomestic_t,MANAGED NON_CONVENTIONAL,Indoor domestic,transpiration,FALSE
sheet2,malu_iiindustry_t,MANAGED NON_CONVENTIONAL,Indoor industry,transpiration,FALSE
sheet2,malu_livestock_t,MANAGED NON_CONVENTIONAL,Livestock and husbandry,transpiration,FALSE
sheet2,malu_others2_t,MANAGED NON_CONVENTIONAL,Others,transpiration,FALSE
sheet2,malu_powerandenergy_t,MANAGED NON_CONVENTIONAL,Power and energy,transpiration,FALSE
sheet2,molu_forest_t,MODIFIED,Forest plantations,transpiration,FALSE
sheet2,molu_others_t,MODIFIED,Others,transpiration,FALSE
sheet2,molu_rainfed_t,MODIFIED,Rainfed crops,transpiration,FALSE
sheet2,molu_settlements_t,MODIFIED,Settlements,transpiration,FALSE
sheet2,plu_forest_t,PROTECTED,Forest,transpiration,FALSE
sheet2,plu_glaciers_t,PROTECTED,Glaciers,transpiration,FALSE
sheet2,plu_grasslands_t,PROTECTED,Natural grasslands,transpiration,FALSE
sheet2,plu_waterbodies_t,PROTECTED,Natural water bodies,transpiration,FALSE
sheet2,plu_others_t,PROTECTED,Others,transpiration,FALSE
sheet2,plu_shrubland_t,PROTECTED,Shrubland,transpiration,FALSE
sheet2,plu_wetlands_t,PROTECTED,Wetlands,transpiration,FALSE
sheet2,ulu_forest_t,UTILIZED,Forest,transpiration,FALSE
sheet2,ulu_grasslands_t,UTILIZED,Natural grasslands,transpiration,FALSE
sheet2,ulu_waterbodies_t,UTILIZED,Natural water bodies,transpiration,FALSE
sheet2,ulu_others_t,UTILIZED,Others,transpiration,FALSE
sheet2,ulu_shrubland_t,UTILIZED,Shrubland,transpiration,FALSE
sheet2,ulu_wetlands_t,UTILIZED,Wetlands,transpiration,FALSE
sheet2,malu_industry_w,MANAGED CONVENTIONAL,Industry,water,FALSE
sheet2,malu_crops_w,MANAGED CONVENTIONAL,Irrigated crops,water,FALSE
sheet2,malu_waterbodies_w,MANAGED CONVENTIONAL,Managed water bodies,water,FALSE
sheet2,malu_others1_w,MANAGED CONVENTIONAL,Others,water,FALSE
sheet2,malu_residential_w,MANAGED CONVENTIONAL,Residential,water,FALSE
sheet2,malu_greenhouses_w,MANAGED NON_CONVENTIONAL,Greenhouses,water,FALSE
sheet2,malu_idomestic_w,MANAGED NON_CONVENTIONAL,Indoor domestic,water,FALSE
sheet2,malu_iiindustry_w,MANAGED NON_CONVENTIONAL,Indoor industry,water,FALSE
sheet2,malu_livestock_w,MANAGED NON_CONVENTIONAL,Livestock and husbandry,water,FALSE
sheet2,malu_others2_w,MANAGED NON_CONVENTIONAL,Others,water,FALSE
sheet2,malu_powerandenergy_w,MANAGED NON_CONVENTIONAL,Power and energy,water,FALSE
sheet2,molu_forest_w,MODIFIED,Forest plantations,water,FALSE
sheet2,molu_others_w,MODIFIED,Others,water,FALSE
sheet2,molu_rainfed_w,MODIFIED,Rainfed crops,water,FALSE
sheet2,molu_settlements_w,MODIFIED,Settlements,water,FALSE
sheet2,plu_forest_w,PROTECTED,Forest,water,FALSE
sheet2,plu_glaciers_w,PROTECTED,Glaciers,water,FALSE
sheet2,plu_grasslands_w,PROTECTED,Natural grasslands,water,FALSE
sheet2,plu_waterbodies_w,PROTECTED,Natural water bodies,water,FALSE
sheet2,plu_others_w,PROTECTED,Others,water,FALSE
sheet2,plu_shrubland_w,PROTECTED,Shrubland,water,FALSE
sheet2,plu_wetlands_w,PROTECTED,Wetlands,water,FALSE
sheet2,ulu_forest_w,UTILIZED,Forest,water,FALSE
sheet2,ulu_grasslands_w,UTILIZED,Natural grasslands,water,FALSE
sheet2,ulu_waterbodies_w,UTILIZED,Natural water bodies,water,FALSE
sheet2,ulu_others_w,UTILIZED,Others,water,FALSE
sheet2,ulu_shrubland_w,UTILIZED,Shrubland,water,FALSE
sheet2,ulu_wetlands_w,UTILIZED,Wetlands,water,FALSE
