CLASS,SUBCLASS,VARIABLE,VALUE,iso3,sheet,year
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2011
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2011
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2011
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2011
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2011
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2011
INFLOW,OTHER,Desalinized,0,ken,sheet1,2011
STORAGE,CHANGE,Surface storage,-4.12708522105634,ken,sheet1,2011
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2011
OUTFLOW,ET LANDSCAPE,Protected,1.70393585959338,ken,sheet1,2011
OUTFLOW,ET LANDSCAPE,Utilized,3.0295365916107,ken,sheet1,2011
OUTFLOW,ET LANDSCAPE,Modified,3.37483398711189,ken,sheet1,2011
OUTFLOW,ET LANDSCAPE,Managed,0.106438002476552,ken,sheet1,2011
OUTFLOW,ET UTILIZED FLOW,Protected,0.0745324292719613,ken,sheet1,2011
OUTFLOW,ET UTILIZED FLOW,Utilized,0.745049906316068,ken,sheet1,2011
OUTFLOW,ET UTILIZED FLOW,Modified,0.18525934562072,ken,sheet1,2011
OUTFLOW,ET UTILIZED FLOW,Managed,1.30461842138537,ken,sheet1,2011
OUTFLOW,ET INCREMENTAL,Manmade,0.00756007755662509,ken,sheet1,2011
OUTFLOW,ET INCREMENTAL,Natural,1.00484168120875,ken,sheet1,2011
OUTFLOW,SURFACE WATER,Main riverstem,3.3214551131,ken,sheet1,2011
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2011
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2011
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2011
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2011
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2011
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2011
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2011
OUTFLOW,OTHER,Other,0,ken,sheet1,2011
OUTFLOW,RESERVED,Commited,0.664054025303916,ken,sheet1,2011
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2011
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2011
INFLOW,PRECIPITATION,Rainfall,16.4351048862538,ken,sheet1,2012
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2012
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2012
INFLOW,SURFACE WATER,Main riverstem,0,ken,sheet1,2012
INFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2012
INFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2012
INFLOW,SURFACE WATER,Flood,0,ken,sheet1,2012
INFLOW,GROUNDWATER,Natural,0,ken,sheet1,2012
INFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2012
INFLOW,OTHER,Desalinized,0,ken,sheet1,2012
STORAGE,CHANGE,Surface storage,-2.15498600860425,ken,sheet1,2012
STORAGE,CHANGE,Storage in sinks,0,ken,sheet1,2012
OUTFLOW,ET LANDSCAPE,Protected,1.86544442166309,ken,sheet1,2012
OUTFLOW,ET LANDSCAPE,Utilized,3.02419955210897,ken,sheet1,2012
OUTFLOW,ET LANDSCAPE,Modified,3.47042518626959,ken,sheet1,2012
OUTFLOW,ET LANDSCAPE,Managed,0.118151485654868,ken,sheet1,2012
OUTFLOW,ET UTILIZED FLOW,Protected,0.229956559590637,ken,sheet1,2012
OUTFLOW,ET UTILIZED FLOW,Utilized,1.00375589653156,ken,sheet1,2012
OUTFLOW,ET UTILIZED FLOW,Modified,0.315180036705171,ken,sheet1,2012
OUTFLOW,ET UTILIZED FLOW,Managed,1.66736032804091,ken,sheet1,2012
OUTFLOW,ET INCREMENTAL,Manmade,0.0107024013256504,ken,sheet1,2012
OUTFLOW,ET INCREMENTAL,Natural,1.54889249282736,ken,sheet1,2012
OUTFLOW,SURFACE WATER,Main riverstem,4.2423033378,ken,sheet1,2012
OUTFLOW,SURFACE WATER,Tributaries,0,ken,sheet1,2012
OUTFLOW,SURFACE WATER,Utilized surface water,0,ken,sheet1,2012
OUTFLOW,SURFACE WATER,Flood,0,ken,sheet1,2012
OUTFLOW,SURFACE WATER,Interbasin transfer,0,ken,sheet1,2012
OUTFLOW,GROUNDWATER,Natural,0,ken,sheet1,2012
OUTFLOW,GROUNDWATER,Utilized,0,ken,sheet1,2012
OUTFLOW,OTHER,Non-utilizable,0,ken,sheet1,2012
OUTFLOW,OTHER,Other,0,ken,sheet1,2012
OUTFLOW,RESERVED,Commited,0.664054025303916,ken,sheet1,2012
OUTFLOW,RESERVED,Navigational,0,ken,sheet1,2012
OUTFLOW,RESERVED,Environmental,0,ken,sheet1,2012
INFLOW,PRECIPITATION,Rainfall,15.9252608405356,ken,sheet1,2013
INFLOW,PRECIPITATION,Snowfall,0,ken,sheet1,2013
INFLOW,PRECIPITATION,Precipitation recycling,0,ken,sheet1,2013
